st_nm,ddl_case_id
Andaman & Nicobar Island,0.0
Arunanchal Pradesh,0.0
Assam,0.0
Bihar,133.0
Chandigarh,0.0
Chhattisgarh,0.0
Dadara & Nagar Havelli,0.0
Daman & Diu,0.0
Goa,0.0
Gujarat,0.0
Haryana,1310.0
Himachal Pradesh,135.0
Jammu & Kashmir,0.0
Jharkhand,23.0
Karnataka,0.0
Kerala,0.0
Lakshadweep,0.0
Madhya Pradesh,0.0
Maharashtra,80.0
Manipur,0.0
Meghalaya,0.0
Mizoram,1.0
Nagaland,0.0
NCT of Delhi,0.0
Puducherry,0.0
Punjab,1509.0
Rajasthan,757.0
Sikkim,0.0
Tamil Nadu,183.0
Telangana,0.0
Tripura,0.0
Uttar Pradesh,94.0
Uttarakhand,4.0
West Bengal,53.0
Odisha,23.0
Andhra Pradesh,0.0
