st_nm,ddl_case_id
Andaman & Nicobar Island,0.0
Arunanchal Pradesh,0.0
Assam,91339.0
Bihar,217541.0
Chandigarh,19580.0
Chhattisgarh,76565.0
Dadara & Nagar Havelli,790.0
Daman & Diu,1332.0
Goa,26638.0
Gujarat,453985.0
Haryana,223754.0
Himachal Pradesh,62039.0
Jammu & Kashmir,28960.0
Jharkhand,76004.0
Karnataka,724072.0
Kerala,335315.0
Lakshadweep,0.0
Madhya Pradesh,443869.0
Maharashtra,965560.0
Manipur,2325.0
Meghalaya,2719.0
Mizoram,1866.0
Nagaland,0.0
NCT of Delhi,114464.0
Puducherry,0.0
Punjab,246800.0
Rajasthan,330951.0
Sikkim,886.0
Tamil Nadu,268919.0
Telangana,136802.0
Tripura,10902.0
Uttar Pradesh,961480.0
Uttarakhand,63004.0
West Bengal,205429.0
Odisha,126070.0
Andhra Pradesh,180811.0
